query,clicks,impressions,position_avg,ctr_pct
how big is a photo strip,1,214,2.17,0.467
photo me booth photo sizes,2,208,5.26,0.962
what size is a photo strip,4,207,1.61,1.932
average size of photo booth strip,2,207,2.09,0.966
photobooth photo strip size,7,207,2.18,3.382
miami photo booth rentals,3,204,8.29,1.471
photo booth meaning,0,202,24.24,0.0
ขนาด photo booth,5,199,1.08,2.513
"family photo sessions in coral gables, fl",0,199,73.2,0.0
photo booth picture dimensions,4,198,2.54,2.02
miami event photo booth,0,197,16.85,0.0
photo booth strips,0,193,3.98,0.0
what is the size of a photo strip,4,193,1.68,2.073
photobooth picture called,0,192,2.19,0.0
photo booth for rent,0,191,6.7,0.0
standard photobooth size,2,191,2.48,1.047
photo booth pictures called,1,191,1.7,0.524
social photo booth rental,0,191,7.09,0.0
rent photo booth miami,0,188,8.12,0.0
6x2 photo size,0,185,4.3,0.0
photobooth in spanish,0,184,2.08,0.0
ukuran photo strips,2,181,1.94,1.105
photobooth names,0,180,24.45,0.0
social booth rental,0,180,9.29,0.0
size of photobooth picture,6,178,2.56,3.371
what size are photo strips,7,178,1.98,3.933
photo booth synonyms,1,177,3.03,0.565
foto booth,0,175,36.56,0.0
size of photo strips,4,174,2.99,2.299
photo booth photo dimensions,5,173,2.7,2.89
premier photo booth rental,0,173,25.44,0.0
strip photo booth size,0,172,1.63,0.0
photo booth company,0,172,8.84,0.0
black and white photo booth miami,0,171,14.7,0.0
photo booth rental miami prices,0,171,24.66,0.0
photo booth rental lakeland fl,0,171,78.26,0.0
photo booth rental sizes,0,170,3.32,0.0
photo strips,0,170,6.39,0.0
photobooths in miami,0,169,19.61,0.0
photo strip sizes,13,169,1.04,7.692
photo booth strip measurements,9,168,2.31,5.357
wedding photo booth,0,167,19.72,0.0
360 photo booth rental miami fl,0,167,12.7,0.0
rent 360 photo booth,0,166,10.48,0.0
photo booth printer strips,0,165,1.69,0.0
photo strip size in pixels,0,165,2.06,0.0
rent a photo booth miami,0,163,7.83,0.0
size of a photo strip,2,163,1.8,1.227
photo booth names,1,163,23.51,0.613
"passport photo studio in coral gables, fl",0,162,60.0,0.0
photobooth strip,0,162,9.62,0.0
photostrips size,0,161,2.62,0.0
how big are photo booth pictures,4,159,2.96,2.516
studio photo booth rental,0,159,6.32,0.0
size photobooth frame,1,159,2.0,0.629
360 photo booth,0,157,13.76,0.0
photoboth,1,155,24.79,0.645
photobooth meaning,0,154,11.96,0.0
photo booth picture name,1,152,1.39,0.658
photo booths in miami,1,151,11.33,0.662
photo booth strip meaning,0,149,4.03,0.0
photostrips,0,148,2.98,0.0
photo booth hire,0,146,8.36,0.0
size of photo booth,1,145,3.52,0.69
photo strip size in cm,3,145,2.6,2.069
rent a 360 photo booth,0,144,12.73,0.0
photobooth strip size in px,1,144,2.42,0.694
what is the average size of a photo booth strip,2,144,1.84,1.389
photo booth measurements,1,140,2.92,0.714
photobooth photo,0,140,4.63,0.0
studio booth for rent miami,0,140,12.6,0.0
photobooth in chinese,0,137,2.31,0.0
size of photo booth pictures,4,137,2.79,2.92
photobooth standard size,2,137,3.41,1.46
photo booth description,0,136,65.09,0.0
photo booth in spanish,0,135,2.09,0.0
what do you call a photo booth picture,0,133,1.97,0.0
miami photo booth party,0,133,13.77,0.0
photo booth rental for parties,0,131,5.41,0.0
what size photos do photo booths take,7,130,2.62,5.385
event photo booth rental,0,130,14.26,0.0
photo booth picture,1,130,14.78,0.769
what size is photo booth paper,1,129,2.33,0.775
photo strip measurements,4,129,2.51,3.101
photo booth hire miami,0,129,6.72,0.0
size of photobooth,0,128,1.67,0.0
photo booth pics,1,128,5.14,0.781
photobooth picture dimensions,3,124,1.82,2.419
what is the size of a photobooth strip,3,124,1.97,2.419
size of photostrip,2,124,2.22,1.613
