bucket,recommended_action,url,slug,title,word_count,char_count,is_empty,is_thin,template_overlap_pct,template_near_dup,gsc_impressions_365d,gsc_clicks_365d,gsc_position_avg,gsc_ctr_pct,potential_score,h1_count,h1_first,http_status
M3,"OPTIMIZE — high-potential, light refresh + internal links",https://www.armsacres.com/suburb/mahopac-ny,mahopac-ny,,871,6327,,,3.7,,1201,18,21.6,1.5,931,0,,200
M3,"OPTIMIZE — high-potential, light refresh + internal links",https://www.armsacres.com/suburb/professional-rehab-center-in-baldwin-place-ny,professional-rehab-center-in-baldwin-place-ny,,449,3252,,,9.5,,996,3,20.2,0.3,712,0,,200
M3,"OPTIMIZE — high-potential, light refresh + internal links",https://www.armsacres.com/suburb/holistic-addiction-treatment-center-in-carmel-hamlet-ny,holistic-addiction-treatment-center-in-carmel-hamlet-ny,,500,3154,,,5.7,,962,1,24.4,0.1,678,0,,200
M3,"OPTIMIZE — high-potential, light refresh + internal links",https://www.armsacres.com/suburb/specialized-drug-rehab-center-in-annsville-ny,specialized-drug-rehab-center-in-annsville-ny,,663,4707,,,3.3,,635,1,17.2,0.16,640,0,,200
Q3+,"OPTIMIZE — high-potential, light refresh + internal links",https://www.armsacres.com/suburb/premier-addiction-treatment-center-in-shrub-oak-ny,premier-addiction-treatment-center-in-shrub-oak-ny,,567,3550,,,4.9,,589,0,6.8,,589,0,,200
Q3+,"MONITOR — leave as-is, re-eval Q3",https://www.armsacres.com/suburb/recommended-addiction-rehab-in-brooklyn-ny,recommended-addiction-rehab-in-brooklyn-ny,,479,3085,,,4.9,,400,4,15.9,1.0,420,0,,200
Q3+,"MONITOR — leave as-is, re-eval Q3",https://www.armsacres.com/suburb/local-recovery-center-in-staten-island-ny,local-recovery-center-in-staten-island-ny,,554,3639,,,10.5,,544,1,21.9,0.18,386,0,,200
Q3+,"MONITOR — leave as-is, re-eval Q3",https://www.armsacres.com/suburb/most-effective-addiction-rehab-center-in-croton-falls-ny,most-effective-addiction-rehab-center-in-croton-falls-ny,,513,3215,,,3.8,,367,1,12.9,0.27,372,0,,200
Q3+,"MONITOR — leave as-is, re-eval Q3",https://www.armsacres.com/suburb/leading-addiction-treatment-center-in-west-mahopac-ny,leading-addiction-treatment-center-in-west-mahopac-ny,,493,3113,,,5.7,,355,3,8.7,0.84,370,0,,200
Q3+,"MONITOR — leave as-is, re-eval Q3",https://www.armsacres.com/suburb/kent-ny,kent-ny,,898,6205,,,3.2,,363,1,18.7,0.28,368,0,,200
