url,word_count,unique_shingles,total_shingles,pct_unique,duplicate_cluster_id
https://surfpointrecovery.com/locations/restorative-addiction-rehab-in-crown-heights-ny,1021,972,1005,96.7,
https://surfpointrecovery.com/locations/rehab-center-in-new-utrecht-ny,1006,925,958,96.6,
https://surfpointrecovery.com/locations/rehab-center-in-ditmas-park-ny,971,890,923,96.4,
https://surfpointrecovery.com/locations/bath-beach,933,850,883,96.3,
https://surfpointrecovery.com/locations/recovery-center-in-dyker-heights-ny,918,828,861,96.2,
https://surfpointrecovery.com/locations/sheepshead-bay,920,838,871,96.2,
https://surfpointrecovery.com/locations/most-effective-addiction-rehab-in-manhattan-beach-ny,852,810,843,96.1,
https://surfpointrecovery.com/locations/professional-addiction-rehab-in-prospect-park-south-ny,870,816,849,96.1,
https://surfpointrecovery.com/locations/recovery-center-in-seagate-ny,871,811,844,96.1,
https://surfpointrecovery.com/locations/midwood,872,798,831,96.0,
https://surfpointrecovery.com/locations/bensonhurst,795,709,741,95.7,
https://surfpointrecovery.com/locations/old-mill-basin,823,743,776,95.7,
https://surfpointrecovery.com/locations/rehab-center-in-mapleton-ny,786,716,749,95.6,
https://surfpointrecovery.com/locations/top-rated-rehab-center-in-sunset-heights-ny,736,698,731,95.5,
https://surfpointrecovery.com/locations/reputable-rehab-in-owls-head-ny,737,700,733,95.5,
https://surfpointrecovery.com/locations/trusted-addiction-treatment-center-in-north-slope-brooklyn,740,699,732,95.5,
https://surfpointrecovery.com/locations/little-caribbean,734,680,713,95.4,
https://surfpointrecovery.com/locations/flatlands,743,682,715,95.4,
https://surfpointrecovery.com/locations/recovery-center-in-marine-park-ny,774,677,710,95.4,
https://surfpointrecovery.com/locations/little-haiti,734,672,705,95.3,
https://surfpointrecovery.com/locations/east-midwood,763,673,706,95.3,
https://surfpointrecovery.com/locations/highly-recommended-rehab-in-shore-road-ny,689,648,681,95.2,
https://surfpointrecovery.com/locations/local-addiction-treatment-center-in-prospect-avenue-corridor-brooklyn,690,650,683,95.2,
https://surfpointrecovery.com/locations/dedicated-rehab-center-in-bayview-houses-ny,694,654,687,95.2,
https://surfpointrecovery.com/locations/professional-rehab-center-in-east-flatbush-ny,697,657,690,95.2,
https://surfpointrecovery.com/locations/licensed-addiction-treatment-center-in-park-slope-brooklyn,627,587,620,94.7,
https://surfpointrecovery.com/locations/top-rated-rehabilitation-center-in-greenwood-heights-ny,634,594,627,94.7,
https://surfpointrecovery.com/locations/trusted-addiction-rehab-in-ridgewood-avenue-ny,613,578,611,94.6,
https://surfpointrecovery.com/locations/dependable-rehab-in-fort-hamilton-ny,615,576,609,94.6,
https://surfpointrecovery.com/locations/holistic-rehab-center-in-west-brighton-ny,591,554,587,94.4,
https://surfpointrecovery.com/locations/most-reliable-rehab-center-in-kings-highway-ny,594,559,592,94.4,
https://surfpointrecovery.com/locations/leading-rehabilitation-center-in-coney-island-creek-ny,581,542,575,94.3,
https://surfpointrecovery.com/locations/comprehensive-rehab-center-in-coney-island-ny,584,544,577,94.3,
https://surfpointrecovery.com/locations/professional-addiction-rehab-in-lighthouse-hill-ny,565,528,561,94.1,
https://surfpointrecovery.com/locations/accredited-rehabilitation-center-in-little-caribbean-ny,568,531,564,94.1,
https://surfpointrecovery.com/locations/leading-addiction-rehab-in-bay-ridge-towers-ny,553,514,547,94.0,
https://surfpointrecovery.com/locations/premier-rehab-center-in-boardwalk-residential-strip-brooklyn,539,504,537,93.9,
https://surfpointrecovery.com/locations/dedicated-recovery-center-in-bergen-beach-brooklyn,541,505,538,93.9,
https://surfpointrecovery.com/locations/recommended-addiction-rehab-in-stillwell-brooklyn,545,510,543,93.9,
https://surfpointrecovery.com/locations/holistic-rehabilitation-center-in-bensonhurst-west-ny,532,497,530,93.8,
https://surfpointrecovery.com/locations/dependable-addiction-treatment-in-plumb-beach-brooklyn,536,499,532,93.8,
https://surfpointrecovery.com/locations/prospect-lefferts-gardens,542,498,531,93.8,
https://surfpointrecovery.com/locations/effective-rehab-center-in-white-sands-brooklyn,523,488,521,93.7,
https://surfpointrecovery.com/locations/local-rehabilitation-center-in-gerritsen-beach-ny,529,491,524,93.7,
https://surfpointrecovery.com/locations/starrett-city,533,491,524,93.7,
https://surfpointrecovery.com/locations/stress-free-recovery-center-in-canarsie-brooklyn,522,486,519,93.6,
https://surfpointrecovery.com/locations/south-slope,526,486,519,93.6,
https://surfpointrecovery.com/locations/leading-rehab-center-in-oceanview-brooklyn,510,475,508,93.5,
https://surfpointrecovery.com/locations/most-trusted-addiction-treatment-in-woodrow-brooklyn,512,474,507,93.5,
https://surfpointrecovery.com/locations/famous-rehab-in-prospect-park-west-ny,495,458,491,93.3,
https://surfpointrecovery.com/locations/best-addiction-treatment-in-neptune-avenue-brooklyn,496,460,493,93.3,
https://surfpointrecovery.com/locations/comprehensive-rehabilitation-center-in-gravesend-bay-ny,497,459,492,93.3,
https://surfpointrecovery.com/locations/trusted-rehab-center-in-windsor-terrace-ny,456,416,449,92.7,
https://surfpointrecovery.com/locations/patient-focused-rehabilitation-services-in-sunset-park-ny,461,422,455,92.7,
https://surfpointrecovery.com/locations/top-rated-addiction-recovery-center-in-madison-ny,447,412,445,92.6,
https://surfpointrecovery.com/locations/top-rehab-center-in-remsen-village-ny,445,405,438,92.5,
https://surfpointrecovery.com/locations/leading-rehab-center-in-kensington-ny,447,408,441,92.5,
https://surfpointrecovery.com/locations/comprehensive-rehabilitation-services-in-homecrest-ny,432,395,428,92.3,
https://surfpointrecovery.com/locations/holistic-rehabilitation-services-in-borough-park-ny,433,394,427,92.3,
