"url","type","topical","clicks_365","impressions_365","pos_365","clicks_90","impressions_90","clicks_30","impressions_30","trend_pct","internal_links","backlinks","ref_main_domains","current_decision","cohort","reason"
"https://www.surfpointrecovery.com/blog/toradol-ketorolac","blog","unclassified","151","174394","11.8","69","45659","15","6539","-66.6","0","0","0","AUDIT (unclassified w/ traffic)","B_bleeding","decaying, trend -67%"
"https://www.surfpointrecovery.com/blog/what-drugs-can-cause-dilated-pupils","blog","unclassified","149","182049","10.5","77","83931","7","11004","-69.8","0","0","0","AUDIT (unclassified w/ traffic)","B_bleeding","decaying, trend -70%"
"https://www.surfpointrecovery.com/blog/mixing-zantac-and-alcohol","blog","unclassified","145","25952","7.6","52","7178","11","1370","-52.8","0","0","0","AUDIT (unclassified w/ traffic)","B_bleeding","decaying, trend -53%"
"https://www.surfpointrecovery.com/blog/phentermine-and-alcohol","blog","unclassified","145","61486","15.5","91","24363","8","4478","-55","0","0","0","AUDIT (unclassified w/ traffic)","B_bleeding","decaying, trend -55%"
"https://www.surfpointrecovery.com/blog/can-one-shot-get-you-drunk","blog","unclassified","143","129870","6","61","43410","6","8475","-51.5","0","0","0","AUDIT (unclassified w/ traffic)","B_bleeding","decaying, trend -52%"
"https://www.surfpointrecovery.com/blog/addiction-to-cell-phone-statistics","blog","core","141","26109","19.8","71","8451","6","645","-83.5","0","0","0","AUDIT (core topical)","B_bleeding","decaying, trend -84%"
"https://www.surfpointrecovery.com/blog/what-does-meth-smell-like-how-to-spot-it-quickly","blog","core","136","95816","13.7","62","39479","11","7251","-55","1","0","0","AUDIT (core topical)","B_bleeding","decaying, trend -55%"
"https://www.surfpointrecovery.com/blog/what-is-denatured-alcohol","blog","core","131","101703","6.3","46","45922","3","5281","-74","0","0","0","AUDIT (core topical)","B_bleeding","decaying, trend -74%"
"https://www.surfpointrecovery.com/blog/can-alcohol-withdrawal-cause-chest-tightness","blog","core","125","28616","15.5","68","16405","13","3169","-52.1","0","0","0","AUDIT (core topical)","B_bleeding","decaying, trend -52%"
"https://www.surfpointrecovery.com/blog/what-is-evidence-based-strategies","blog","unclassified","124","30444","12","31","10072","3","1038","-77","0","0","0","AUDIT (unclassified w/ traffic)","B_bleeding","decaying, trend -77%"
"https://www.surfpointrecovery.com/blog/alcohol-recovery-statistics","blog","core","123","34635","17.6","50","12988","1","1200","-79.6","0","0","0","AUDIT (core topical)","B_bleeding","decaying, trend -80%"
"https://www.surfpointrecovery.com/blog/can-you-get-drunk-off-of-wine","blog","unclassified","123","132010","12.4","94","82096","14","16202","-50.8","0","0","0","AUDIT (unclassified w/ traffic)","B_bleeding","decaying, trend -51%"
"https://www.surfpointrecovery.com/blog/dangers-of-mixing-prednisone-alcohol","blog","off_topic","122","134108","18","78","69151","2","2449","-92.7","0","0","0","NOINDEX (off-topic but traffic)","B_bleeding","decaying, trend -93%"
"https://www.surfpointrecovery.com/blog/how-do-hospital-er-treat-overdose-patients","blog","core","116","24314","6.1","66","9950","3","780","-83","0","0","0","AUDIT (core topical)","B_bleeding","decaying, trend -83%"
"https://www.surfpointrecovery.com/blog/dangers-of-mixing-alcohol-and-lipitor","blog","unclassified","113","71654","7.4","74","38077","2","3240","-81.4","0","0","0","AUDIT (unclassified w/ traffic)","B_bleeding","decaying, trend -81%"
"https://www.surfpointrecovery.com/blog/does-alcohol-affect-bowel-movements","blog","unclassified","110","95153","13.9","85","66735","6","4052","-87.1","0","0","0","AUDIT (unclassified w/ traffic)","B_bleeding","decaying, trend -87%"
"https://www.surfpointrecovery.com/blog/what-are-the-long-term-effects-of-dimenthyltryptamine-dmt","blog","unclassified","108","20993","15.9","42","9366","0","212","-95.3","0","0","0","AUDIT (unclassified w/ traffic)","B_bleeding","decaying, trend -95%"
"https://www.surfpointrecovery.com/blog/dopamine-detox-timeline-explained-key-phases-and-duration","blog","core","107","18711","9.9","42","9402","1","670","-84.6","1","0","0","AUDIT (core topical)","B_bleeding","decaying, trend -85%"
