url,word_count,schema_present,bigger_area,gsc_impressions_365d,gsc_clicks_365d,google_index_status,gsc_coverage_state,gsc_verdict,canonical_matches,google_canonical,user_canonical,last_crawl_time,status,decision
https://surfpointrecovery.com/locations/bath-beach,933,N,Brooklyn,0,0,"NOT INDEXED (crawled, not selected)",Crawled - currently not indexed,NEUTRAL,Y,https://www.surfpointrecovery.com/locations/bath-beach,https://www.surfpointrecovery.com/locations/bath-beach,2026-04-26T18:09:37Z,200,KEEP (has content)
https://surfpointrecovery.com/locations/rehab-center-in-ditmas-park-ny,971,N,Brooklyn,511,3,INDEXED,Submitted and indexed,PASS,Y,https://www.surfpointrecovery.com/locations/rehab-center-in-ditmas-park-ny,https://www.surfpointrecovery.com/locations/rehab-center-in-ditmas-park-ny,2026-05-08T14:57:59Z,200,KEEP (has content)
https://surfpointrecovery.com/locations/rehab-center-in-new-utrecht-ny,1006,N,Brooklyn,56,0,"NOT INDEXED (crawled, not selected)",Crawled - currently not indexed,NEUTRAL,Y,https://www.surfpointrecovery.com/locations/rehab-center-in-new-utrecht-ny,https://www.surfpointrecovery.com/locations/rehab-center-in-new-utrecht-ny,2026-04-07T08:31:59Z,200,KEEP (has content)
https://surfpointrecovery.com/locations/restorative-addiction-rehab-in-crown-heights-ny,1021,N,Brooklyn,305,4,"NOT INDEXED (crawled, not selected)",Crawled - currently not indexed,NEUTRAL,N,https://www.surfpointrecovery.com/locations/restorative-addiction-rehab-in-crown-heights-ny,,2025-06-24T02:59:19Z,200,KEEP (has content)
https://surfpointrecovery.com/locations/harlem,33,N,Manhattan,111,1,"NOT INDEXED (crawled, not selected)",Crawled - currently not indexed,NEUTRAL,Y,https://www.surfpointrecovery.com/locations/harlem,https://www.surfpointrecovery.com/locations/harlem,2026-04-20T16:37:15Z,200,Upgrade
https://surfpointrecovery.com/locations/inwood,33,N,Manhattan,9,0,"NOT INDEXED (crawled, not selected)",Crawled - currently not indexed,NEUTRAL,Y,https://www.surfpointrecovery.com/locations/inwood,https://www.surfpointrecovery.com/locations/inwood,2026-02-28T10:10:10Z,200,Upgrade
https://surfpointrecovery.com/locations/manhattan,33,N,Manhattan,317,5,INDEXED,Submitted and indexed,PASS,Y,https://www.surfpointrecovery.com/locations/manhattan,https://www.surfpointrecovery.com/locations/manhattan,2026-04-09T21:54:41Z,200,Upgrade
https://surfpointrecovery.com/locations/new-york-city,35,N,Manhattan,388,0,INDEXED,Submitted and indexed,PASS,Y,https://www.surfpointrecovery.com/locations/new-york-city,https://www.surfpointrecovery.com/locations/new-york-city,2026-04-17T02:10:49Z,200,Upgrade
https://surfpointrecovery.com/locations/hamilton-heights,34,N,Manhattan,56,0,INDEXED,Submitted and indexed,PASS,Y,https://www.surfpointrecovery.com/locations/hamilton-heights,https://www.surfpointrecovery.com/locations/hamilton-heights,2026-03-25T19:54:00Z,200,https://www.surfpointrecovery.com/areas-served
https://surfpointrecovery.com/locations/washington-heights,34,N,Manhattan,43,0,INDEXED,Submitted and indexed,PASS,Y,https://www.surfpointrecovery.com/locations/washington-heights,https://www.surfpointrecovery.com/locations/washington-heights,2026-04-23T23:06:05Z,200,https://www.surfpointrecovery.com/areas-served
https://surfpointrecovery.com/locations/newark,33,N,New Jersey (out of service area),27,0,INDEXED,Submitted and indexed,PASS,N,https://www.surfpointrecovery.com/locations/newark,,2026-02-04T22:39:02Z,200,https://www.surfpointrecovery.com/areas-served
https://surfpointrecovery.com/locations/paterson,33,N,New Jersey (out of service area),5,0,NEUTRAL,URL is unknown to Google,NEUTRAL,,,,,200,https://www.surfpointrecovery.com/areas-served
https://surfpointrecovery.com/locations/trenton,33,N,New Jersey (out of service area),0,0,NEUTRAL,URL is unknown to Google,NEUTRAL,,,,,200,https://www.surfpointrecovery.com/areas-served
https://surfpointrecovery.com/locations/jersey-city,34,N,New Jersey (out of service area),428,0,INDEXED,Submitted and indexed,PASS,Y,https://www.surfpointrecovery.com/locations/jersey-city,https://www.surfpointrecovery.com/locations/jersey-city,2026-05-13T07:19:53Z,200,https://www.surfpointrecovery.com/areas-served
https://surfpointrecovery.com/locations/new-jersey,34,N,New Jersey (out of service area),102,0,INDEXED,Submitted and indexed,PASS,Y,https://www.surfpointrecovery.com/locations/new-jersey,https://www.surfpointrecovery.com/locations/new-jersey,2026-05-11T15:44:54Z,200,https://www.surfpointrecovery.com/areas-served
https://surfpointrecovery.com/locations/queens,33,N,Queens,659,3,INDEXED,Submitted and indexed,PASS,Y,https://www.surfpointrecovery.com/locations/queens,https://www.surfpointrecovery.com/locations/queens,2026-04-22T20:10:46Z,200,Upgrade
https://surfpointrecovery.com/locations/astoria,33,N,Queens,308,0,INDEXED,Submitted and indexed,PASS,Y,https://www.surfpointrecovery.com/locations/astoria,https://www.surfpointrecovery.com/locations/astoria,2026-04-08T11:32:43Z,200,https://www.surfpointrecovery.com/areas-served
https://surfpointrecovery.com/locations/corona,33,N,Queens,16,0,INDEXED,Submitted and indexed,PASS,N,https://www.surfpointrecovery.com/locations/corona,,2026-01-29T03:35:08Z,200,https://www.surfpointrecovery.com/areas-served
https://surfpointrecovery.com/locations/elmhurst,33,N,Queens,0,0,"NOT INDEXED (discovered, not crawled)",Discovered - currently not indexed,NEUTRAL,,,,,200,https://www.surfpointrecovery.com/areas-served
https://surfpointrecovery.com/locations/flushing,33,N,Queens,16,0,"NOT INDEXED (crawled, not selected)",Crawled - currently not indexed,NEUTRAL,,,,2025-11-19T06:10:14Z,200,https://www.surfpointrecovery.com/areas-served
https://surfpointrecovery.com/locations/laurelton,33,N,Queens,9,0,INDEXED,Submitted and indexed,PASS,Y,https://www.surfpointrecovery.com/locations/laurelton,https://www.surfpointrecovery.com/locations/laurelton,2026-04-02T12:53:18Z,200,https://www.surfpointrecovery.com/areas-served
https://surfpointrecovery.com/locations/sunnyside,33,N,Queens,3,0,INDEXED,Submitted and indexed,PASS,N,https://www.surfpointrecovery.com/locations/sunnyside,,2026-02-06T22:35:42Z,200,https://www.surfpointrecovery.com/areas-served
https://surfpointrecovery.com/locations/woodside,33,N,Queens,2,0,INDEXED,Submitted and indexed,PASS,Y,https://www.surfpointrecovery.com/locations/woodside,https://www.surfpointrecovery.com/locations/woodside,2026-03-20T23:26:22Z,200,https://www.surfpointrecovery.com/areas-served
https://surfpointrecovery.com/locations/cambria-heights,34,N,Queens,0,0,INDEXED,Submitted and indexed,PASS,N,https://www.surfpointrecovery.com/locations/cambria-heights,,2026-01-28T00:16:14Z,200,https://www.surfpointrecovery.com/areas-served
https://surfpointrecovery.com/locations/east-elmhurst,34,N,Queens,17,0,"NOT INDEXED (crawled, not selected)",Crawled - currently not indexed,NEUTRAL,Y,https://www.surfpointrecovery.com/locations/east-elmhurst,https://www.surfpointrecovery.com/locations/east-elmhurst,2026-03-19T00:25:27Z,200,https://www.surfpointrecovery.com/areas-served
https://surfpointrecovery.com/locations/jackson-heights,34,N,Queens,76,0,INDEXED,Submitted and indexed,PASS,Y,https://www.surfpointrecovery.com/locations/jackson-heights,https://www.surfpointrecovery.com/locations/jackson-heights,2026-05-09T12:57:32Z,200,https://www.surfpointrecovery.com/areas-served
https://surfpointrecovery.com/locations/queens-village,34,N,Queens,27,0,"NOT INDEXED (discovered, not crawled)",Discovered - currently not indexed,NEUTRAL,,,,,200,https://www.surfpointrecovery.com/areas-served
https://surfpointrecovery.com/locations/springfield-gardens,34,N,Queens,3,0,"NOT INDEXED (discovered, not crawled)",Discovered - currently not indexed,NEUTRAL,,,,,200,https://www.surfpointrecovery.com/areas-served
https://surfpointrecovery.com/locations/st-albans-rochdale,34,N,Queens,0,0,NEUTRAL,URL is unknown to Google,NEUTRAL,,,,,200,https://www.surfpointrecovery.com/areas-served
https://surfpointrecovery.com/locations/staten-island,34,N,Staten Island,704,14,INDEXED,Submitted and indexed,PASS,Y,https://www.surfpointrecovery.com/locations/staten-island,https://www.surfpointrecovery.com/locations/staten-island,2026-05-13T09:22:48Z,200,Upgrade
https://surfpointrecovery.com/locations/north-shore-of-staten-island,37,N,Staten Island,184,0,INDEXED,Submitted and indexed,PASS,Y,https://www.surfpointrecovery.com/locations/north-shore-of-staten-island,https://www.surfpointrecovery.com/locations/north-shore-of-staten-island,2026-04-10T00:02:04Z,200,https://surfpointrecovery.com/locations/staten-island
https://surfpointrecovery.com/locations/most-trusted-addiction-treatment-in-woodrow-brooklyn,512,N,Staten Island,21,0,NEUTRAL,URL is unknown to Google,NEUTRAL,,,,,200,KEEP (has content)
https://surfpointrecovery.com/locations/professional-addiction-rehab-in-lighthouse-hill-ny,565,N,Staten Island,66,0,"NOT INDEXED (crawled, not selected)",Crawled - currently not indexed,NEUTRAL,Y,https://www.surfpointrecovery.com/locations/professional-addiction-rehab-in-lighthouse-hill-ny,https://www.surfpointrecovery.com/locations/professional-addiction-rehab-in-lighthouse-hill-ny,2026-03-27T09:04:00Z,200,KEEP (has content)
https://surfpointrecovery.com/locations/holistic-rehab-center-in-west-brighton-ny,591,N,Staten Island,742,1,INDEXED,Submitted and indexed,PASS,Y,https://www.surfpointrecovery.com/locations/holistic-rehab-center-in-west-brighton-ny,https://www.surfpointrecovery.com/locations/holistic-rehab-center-in-west-brighton-ny,2026-03-28T07:21:01Z,200,KEEP (has content)
