url,word_count,derived_city,city_mentions_in_body,brooklyn_mentions_in_body,pct_unique_3gram,tier
https://surfpointrecovery.com/locations/top-rehab-center-in-remsen-village-ny,445,remsen village,7,3,92.5,STRONG local
https://surfpointrecovery.com/locations/accredited-addiction-recovery-center-in-bay-ridge-ny,432,bay ridge,7,1,92.2,STRONG local
https://surfpointrecovery.com/locations/comprehensive-rehabilitation-services-in-homecrest-ny,432,homecrest,7,4,92.3,STRONG local
https://surfpointrecovery.com/locations/leading-addiction-recovery-center-in-georgetown-ny,405,georgetown,7,0,91.8,STRONG local
https://surfpointrecovery.com/locations/best-addiction-treatment-in-neptune-avenue-brooklyn,496,neptune avenue,6,6,93.3,STRONG local
https://surfpointrecovery.com/locations/flatbush,400,flatbush,6,3,91.7,STRONG local
https://surfpointrecovery.com/locations/top-rated-rehab-center-in-sunset-heights-ny,736,sunset heights,5,2,95.5,STRONG local
https://surfpointrecovery.com/locations/professional-rehab-center-in-east-flatbush-ny,697,east flatbush,5,2,95.2,STRONG local
https://surfpointrecovery.com/locations/dedicated-rehab-center-in-bayview-houses-ny,694,bayview houses,5,3,95.2,STRONG local
https://surfpointrecovery.com/locations/licensed-addiction-treatment-center-in-park-slope-brooklyn,627,park slope,5,3,94.7,STRONG local
https://surfpointrecovery.com/locations/local-rehabilitation-center-in-gerritsen-beach-ny,529,gerritsen beach,5,3,93.7,STRONG local
https://surfpointrecovery.com/locations/comprehensive-rehabilitation-center-in-gravesend-bay-ny,497,gravesend bay,5,3,93.3,STRONG local
https://surfpointrecovery.com/locations/reputable-rehab-in-owls-head-ny,737,owls head,4,0,95.5,OK local
https://surfpointrecovery.com/locations/highly-recommended-rehab-in-shore-road-ny,689,shore road,4,1,95.2,OK local
https://surfpointrecovery.com/locations/dependable-rehab-in-fort-hamilton-ny,615,fort hamilton,4,2,94.6,OK local
https://surfpointrecovery.com/locations/trusted-addiction-rehab-in-ridgewood-avenue-ny,613,ridgewood avenue,4,1,94.6,OK local
https://surfpointrecovery.com/locations/professional-addiction-rehab-in-lighthouse-hill-ny,565,lighthouse hill,4,1,94.1,OK local
https://surfpointrecovery.com/locations/leading-addiction-rehab-in-bay-ridge-towers-ny,553,bay ridge towers,4,2,94.0,OK local
https://surfpointrecovery.com/locations/dependable-addiction-treatment-in-plumb-beach-brooklyn,536,plumb beach,4,6,93.8,OK local
https://surfpointrecovery.com/locations/holistic-rehabilitation-center-in-bensonhurst-west-ny,532,bensonhurst west,4,2,93.8,OK local
https://surfpointrecovery.com/locations/effective-rehab-center-in-white-sands-brooklyn,523,white sands,4,4,93.7,OK local
https://surfpointrecovery.com/locations/most-trusted-addiction-treatment-in-woodrow-brooklyn,512,woodrow,4,4,93.5,OK local
https://surfpointrecovery.com/locations/leading-rehab-center-in-oceanview-brooklyn,510,oceanview,4,3,93.5,OK local
https://surfpointrecovery.com/locations/trusted-addiction-treatment-center-in-north-slope-brooklyn,740,north slope,3,5,95.5,OK local
https://surfpointrecovery.com/locations/local-addiction-treatment-center-in-prospect-avenue-corridor-brooklyn,690,prospect avenue corridor,3,5,95.2,OK local
https://surfpointrecovery.com/locations/top-rated-rehabilitation-center-in-greenwood-heights-ny,634,greenwood heights,3,1,94.7,OK local
https://surfpointrecovery.com/locations/most-reliable-rehab-center-in-kings-highway-ny,594,kings highway,3,1,94.4,OK local
https://surfpointrecovery.com/locations/holistic-rehab-center-in-west-brighton-ny,591,west brighton,3,0,94.4,OK local
https://surfpointrecovery.com/locations/comprehensive-rehab-center-in-coney-island-ny,584,coney island,3,2,94.3,OK local
https://surfpointrecovery.com/locations/leading-rehabilitation-center-in-coney-island-creek-ny,581,coney island creek,3,1,94.3,OK local
https://surfpointrecovery.com/locations/accredited-rehabilitation-center-in-little-caribbean-ny,568,little caribbean,3,2,94.1,OK local
https://surfpointrecovery.com/locations/famous-rehab-in-prospect-park-west-ny,495,prospect park west,3,2,93.3,OK local
https://surfpointrecovery.com/locations/premier-rehab-center-in-boardwalk-residential-strip-brooklyn,539,boardwalk residential strip,2,5,93.9,WEAK local
