domain,decision,reason,spam_score,backlinks,rank
wegosell.co.za,KEEP,no flag,10,1,0
zoominfo.com,KEEP,no flag,10,1,0
flokii.com,KEEP,no flag,8,3,68
takechargechicago.org,KEEP,no flag,8,3,40
ctc.edu.za,KEEP,gov/edu,5,1,0
dojowell.com,KEEP,no flag,5,1,0
drivingtesthelp.ca,KEEP,no flag,5,1,0
gtmarine.ru,KEEP,no flag,5,1,0
larimercenter.org,KEEP,no flag,5,1,23
lifeinvelvet.com,KEEP,no flag,5,1,7
linkcenter.com,KEEP,no flag,5,1,0
mbcm.in,KEEP,no flag,5,4,0
mvtransindia.com,KEEP,no flag,5,1,0
neverbounce.com,KEEP,no flag,5,1,0
nuekin.com,KEEP,no flag,5,4,0
olimposs.com,KEEP,no flag,5,4,0
servicii24.ro,KEEP,no flag,5,1,0
southasia.com.bd,KEEP,no flag,5,1,0
zimgateway.com,KEEP,no flag,5,1,0
myrnjobs.com,KEEP,no flag,3,6,68
avareno.ca,KEEP,no flag,2,2,0
friendlyneighborhoodrepublican.com,KEEP,no flag,2,4,0
300mind.studio,KEEP,no flag,0,1,0
abnewswire.com,KEEP,no flag,0,2,0
acirehab.org,KEEP,no flag,0,2,0
adlandpro.com,KEEP,no flag,0,2,0
alcoholism.org,KEEP,no flag,0,1,23
anationofmoms.com,KEEP,no flag,0,1,0
anchorpointteentreatment.com,KEEP,no flag,0,2,0
arrowheadlodgerecovery.com,KEEP,no flag,0,2,0
attainbh.com,KEEP,no flag,0,2,0
backstageviral.com,KEEP,no flag,0,1,0
birchtreerecovery.com,KEEP,no flag,0,1,0
birjetkirala.com,KEEP,no flag,0,1,0
bizhwy.com,KEEP,no flag,0,2,0
bronxsober.com,KEEP,no flag,0,4,79
buchveroeffentlichen.com,KEEP,no flag,0,3,0
bunity.com,KEEP,no flag,0,2,0
carf.org,KEEP,no flag,0,1,0
carolinaenergetics.com,KEEP,no flag,0,1,0
couponler.com,KEEP,no flag,0,1,51
dcmdmaonlineshop.com,KEEP,no flag,0,2,19
decaturdailydemocrat.com,KEEP,no flag,0,1,0
detox.com,KEEP,no flag,0,1,0
detoxtorehab.com,KEEP,no flag,0,2,51
dexknows.com,KEEP,no flag,0,1,0
dgsac.com.pe,KEEP,no flag,0,4,0
dmtdc.com,KEEP,no flag,0,2,3
erafame.com,KEEP,no flag,0,1,7
fyple.com,KEEP,no flag,0,1,0
garmento.net,KEEP,no flag,0,2,0
goldmanlaboratories.com,KEEP,no flag,0,6,0
ieit.vn,KEEP,no flag,0,1,0
imagetou.com,KEEP,no flag,0,1,0
imagingtrade.com.np,KEEP,no flag,0,1,0
johnnylist.org,KEEP,no flag,0,1,0
joshcolbycounseling.com,KEEP,no flag,0,1,0
kemahpalms.com,KEEP,no flag,0,1,0
latesthealthtricks.com,KEEP,no flag,0,1,7
linkcentre.com,KEEP,no flag,0,1,0
loc8nearme.com,KEEP,no flag,0,1,0
luxury-rehabs.com,KEEP,no flag,0,1,0
mainspringrecovery.com,KEEP,no flag,0,2,0
manhattansober.com,KEEP,no flag,0,4,79
martoncare.com,KEEP,no flag,0,1,0
masonjarbreakfast.com,KEEP,no flag,0,1,0
metroatlantadetox.com,KEEP,no flag,0,1,0
miamioutpatientdetox.com,KEEP,no flag,0,1,0
mj-service.pl,KEEP,no flag,0,1,0
nameshype.com,KEEP,no flag,0,1,0
newhorizonscenters.com,KEEP,no flag,0,4,13
newjerseyoutpatientdetox.com,KEEP,no flag,0,2,0
njaddictionhotline.com,KEEP,no flag,0,6,0
northridgeaddiction.com,KEEP,no flag,0,1,0
oasisrecovery.com,KEEP,no flag,0,9,46
on-mend.com,KEEP,no flag,0,2,7
osadazbojecka.pl,KEEP,no flag,0,1,0
peachtreeliving.net,KEEP,no flag,0,1,0
perrysbridgereptilepark.com,KEEP,no flag,0,3,0
pornaddictiontest.com,KEEP,no flag,0,1,0
pressreleasecc.com,KEEP,no flag,0,7,0
proplayersports.com,KEEP,no flag,0,1,0
provenexpert.com,KEEP,no flag,0,1,0
psbios.com,KEEP,no flag,0,1,0
punxsutawneyspirit.com,KEEP,no flag,0,1,0
qualitypoint.com.do,KEEP,no flag,0,1,0
recovered.org,KEEP,no flag,0,4,79
recovery.com,KEEP,no flag,0,2,0
recoveryhelper.org,KEEP,no flag,0,1,0
recoveryhomepa.com,KEEP,no flag,0,1,0
reelsmedia.co.uk,KEEP,no flag,0,1,0
rehabangels.org,KEEP,no flag,0,4,79
sanatyips.com,KEEP,no flag,0,1,0
santabarbararecovery.com,KEEP,no flag,0,1,0
smartcabsnorwich.co.uk,KEEP,no flag,0,1,0
stlrecovery.com,KEEP,no flag,0,1,0
storiesradius.com,KEEP,no flag,0,1,7
talbh.com,KEEP,no flag,0,2,0
tampaoutpatientdetox.com,KEEP,no flag,0,8,23
thecelebportal.com,KEEP,no flag,0,1,0
thehopeinstitutenj.com,KEEP,no flag,0,1,0
thevillatreatmentcenter.com,KEEP,no flag,0,5,3
threebestrated.com,KEEP,no flag,0,2,0
timeshealthmag.com,KEEP,no flag,0,1,7
ukvapescene.com,KEEP,no flag,0,1,0
vivaesthetique.com,KEEP,no flag,0,2,0
vuink.com,KEEP,no flag,0,8,0
winsavvy.com,KEEP,no flag,0,1,0
wisconsinmuslimjournal.org,KEEP,no flag,0,1,0
yellowplace.org,KEEP,no flag,0,4,0
yobizniz.com,KEEP,no flag,0,1,51
zumvu.com,KEEP,no flag,0,1,0
booksreadr.org,REVIEW,spam_score=60,60,1,0
globalecommerce.org,REVIEW,spam_score=60,60,1,0
musweb.org,REVIEW,spam_score=60,60,1,0
read.org.in,REVIEW,spam_score=60,60,1,0
runningwebsites.net,REVIEW,spam_score=60,60,1,0
way2check.cv,REVIEW,spam_score=60,60,1,0
agmermer.pro,REVIEW,spam_score=55,55,1,0
tunca.org,REVIEW,spam_score=50,50,1,0
wallpapers.pro,REVIEW,spam_score=50,50,1,0
websiterace.com,REVIEW,spam_score=50,50,1,0
culture-echecs.eu,REVIEW,all-nofollow + low-rank,45,2,0
ecovs.cn,REVIEW,all-nofollow + low-rank,45,3,0
protechshine.com,REVIEW,all-nofollow + low-rank,45,6,0
rankgrow.agency,REVIEW,all-nofollow + low-rank,45,1,0
seobacklinks.agency,REVIEW,all-nofollow + low-rank,45,1,0
primepag.com.br,REVIEW,all-nofollow + low-rank,43,5,0
acelb.co,REVIEW,all-nofollow + low-rank,42,7,0
acgconsulting.com.vn,REVIEW,all-nofollow + low-rank,40,1,0
itxoft.com,REVIEW,all-nofollow + low-rank,40,1,0
phinova.org,REVIEW,all-nofollow + low-rank,40,1,0
securelivelihoods.org,REVIEW,all-nofollow + low-rank,40,4,0
simplygaurav.com,REVIEW,all-nofollow + low-rank,40,8,0
angelinamargo.com,REVIEW,all-nofollow + low-rank,35,1,0
ggpartnersconsortium.com,REVIEW,all-nofollow + low-rank,35,5,0
hessentours.de,REVIEW,all-nofollow + low-rank,35,1,0
icylv5.azurewebsites.net,REVIEW,all-nofollow + low-rank,35,3,0
lopezexpressgt.com,REVIEW,all-nofollow + low-rank,35,1,0
presale-vancouver.ca,REVIEW,all-nofollow + low-rank,35,1,0
rongqin-ai.com,REVIEW,all-nofollow + low-rank,35,3,0
rosamarques.pt,REVIEW,all-nofollow + low-rank,35,1,0
silveronetattoo.com,REVIEW,all-nofollow + low-rank,35,1,0
smartparentresources.org,REVIEW,all-nofollow + low-rank,35,1,0
technewsmail.com,REVIEW,all-nofollow + low-rank,35,2,0
92101urbanliving.com,REVIEW,all-nofollow + low-rank,30,1,0
atechnos.com,REVIEW,all-nofollow + low-rank,30,2,0
bas-ir.com,REVIEW,all-nofollow + low-rank,30,1,0
bnksp.org,REVIEW,all-nofollow + low-rank,30,1,0
businessinsurance.com,REVIEW,all-nofollow + low-rank,30,1,0
gener8.space,REVIEW,all-nofollow + low-rank,30,4,0
mosaiceventsoman.com,REVIEW,all-nofollow + low-rank,30,2,0
seo-cartel-7.online,REVIEW,all-nofollow + low-rank,30,1,0
seo-cartel-9.online,REVIEW,all-nofollow + low-rank,30,1,0
