domain,decision,reason,spam_score,backlinks,rank
seo-anomaly-black.website,AUTO,name pattern /^seo-anomaly-/; soft-spam TLD .website + spam_score=60; all-nofollow + spam_score=60 + rank=0,60,2,0
seo-anomaly-bounce.online,AUTO,name pattern /^seo-anomaly-/; soft-spam TLD .online + spam_score=60; all-nofollow + spam_score=60 + rank=0,60,2,0
seo-anomaly-bounce.site,AUTO,name pattern /^seo-anomaly-/; soft-spam TLD .site + spam_score=60; all-nofollow + spam_score=60 + rank=0,60,2,0
seo-anomaly-bounce.space,AUTO,name pattern /^seo-anomaly-/; soft-spam TLD .space + spam_score=60; all-nofollow + spam_score=60 + rank=0,60,2,0
seo-anomaly-bounce.website,AUTO,name pattern /^seo-anomaly-/; soft-spam TLD .website + spam_score=60; all-nofollow + spam_score=60 + rank=0,60,2,0
seo-anomaly-canonical.online,AUTO,name pattern /^seo-anomaly-/; soft-spam TLD .online + spam_score=60; all-nofollow + spam_score=60 + rank=0,60,1,0
seo-anomaly-canonical.site,AUTO,name pattern /^seo-anomaly-/; soft-spam TLD .site + spam_score=60; all-nofollow + spam_score=60 + rank=0,60,1,0
seo-anomaly-canonical.space,AUTO,name pattern /^seo-anomaly-/; soft-spam TLD .space + spam_score=60; all-nofollow + spam_score=60 + rank=0,60,2,0
seo-anomaly-canonical.website,AUTO,name pattern /^seo-anomaly-/; soft-spam TLD .website + spam_score=60; all-nofollow + spam_score=60 + rank=0,60,2,0
seo-anomaly-conversion.online,AUTO,name pattern /^seo-anomaly-/; soft-spam TLD .online + spam_score=60; all-nofollow + spam_score=60 + rank=0,60,2,0
seo-anomaly-conversion.site,AUTO,name pattern /^seo-anomaly-/; soft-spam TLD .site + spam_score=60; all-nofollow + spam_score=60 + rank=0,60,1,0
seo-anomaly-conversion.space,AUTO,name pattern /^seo-anomaly-/; soft-spam TLD .space + spam_score=60; all-nofollow + spam_score=60 + rank=0,60,2,0
seo-anomaly-conversion.website,AUTO,name pattern /^seo-anomaly-/; soft-spam TLD .website + spam_score=60; all-nofollow + spam_score=60 + rank=0,60,2,0
seo-anomaly-crawlbudget.online,AUTO,name pattern /^seo-anomaly-/; soft-spam TLD .online + spam_score=60; all-nofollow + spam_score=60 + rank=0,60,2,0
seo-anomaly-crawlbudget.site,AUTO,name pattern /^seo-anomaly-/; soft-spam TLD .site + spam_score=60; all-nofollow + spam_score=60 + rank=0,60,2,0
seo-anomaly-crawlbudget.space,AUTO,name pattern /^seo-anomaly-/; soft-spam TLD .space + spam_score=60; all-nofollow + spam_score=60 + rank=0,60,2,0
seo-anomaly-crawlbudget.website,AUTO,name pattern /^seo-anomaly-/; soft-spam TLD .website + spam_score=60; all-nofollow + spam_score=60 + rank=0,60,2,0
seo-anomaly-crawling.online,AUTO,name pattern /^seo-anomaly-/; soft-spam TLD .online + spam_score=60; all-nofollow + spam_score=60 + rank=0,60,2,0
seo-anomaly-crawling.site,AUTO,name pattern /^seo-anomaly-/; soft-spam TLD .site + spam_score=60; all-nofollow + spam_score=60 + rank=0,60,2,0
seo-anomaly-crawling.space,AUTO,name pattern /^seo-anomaly-/; soft-spam TLD .space + spam_score=60; all-nofollow + spam_score=60 + rank=0,60,2,0
seo-anomaly-crawling.website,AUTO,name pattern /^seo-anomaly-/; soft-spam TLD .website + spam_score=60; all-nofollow + spam_score=60 + rank=0,60,2,0
seo-anomaly-ctr.online,AUTO,name pattern /^seo-anomaly-/; soft-spam TLD .online + spam_score=60; all-nofollow + spam_score=60 + rank=0,60,2,0
seo-anomaly-ctr.site,AUTO,name pattern /^seo-anomaly-/; soft-spam TLD .site + spam_score=60; all-nofollow + spam_score=60 + rank=0,60,2,0
seo-anomaly-ctr.space,AUTO,name pattern /^seo-anomaly-/; soft-spam TLD .space + spam_score=60; all-nofollow + spam_score=60 + rank=0,60,2,0
seo-anomaly-ctr.website,AUTO,name pattern /^seo-anomaly-/; soft-spam TLD .website + spam_score=60; all-nofollow + spam_score=60 + rank=0,60,2,0
seo-anomaly-dofollow.online,AUTO,name pattern /^seo-anomaly-/; soft-spam TLD .online + spam_score=60; all-nofollow + spam_score=60 + rank=0,60,2,0
seo-anomaly-dofollow.site,AUTO,name pattern /^seo-anomaly-/; soft-spam TLD .site + spam_score=60; all-nofollow + spam_score=60 + rank=0,60,2,0
seo-anomaly-dofollow.space,AUTO,name pattern /^seo-anomaly-/; soft-spam TLD .space + spam_score=60; all-nofollow + spam_score=60 + rank=0,60,2,0
